pipeline_id,display_name,country,source,source_url,elstat_pub_code,access_type,file_type,has_extractor,deliverable_kind,db_compare_wired,db_name,db_table,min_deliverable_year
ed_key_partners_primary_goods,Key Partners - Primary Goods (SFC02) - Trade Balance Time Period,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SFC02/-,SFC02,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_key_partners_primary_goods,
ed_loan_amounts_millions,Housing & Consumer Loans (Amounts) - New Business,Greece,Bank of Greece,https://www.bankofgreece.gr/en/statistics/financial-markets-and-interest-rates/,,Shared (sibling pipeline),xls,yes,extracted_csv,yes,athena,ed_loan_amounts_millions,
ed_loan_interest_rates,Housing & Consumer Loans (Interest Rates),Greece,Bank of Greece,https://www.bankofgreece.gr/en/statistics/financial-markets-and-interest-rates/,,Direct URL,xls,yes,extracted_csv,yes,athena,ed_loan_interest_rates,
ed_motor_trade_turnover_index,Motor Trade Turnover and Volume Index,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT45/-,DKT45,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_motor_trade_turnover_index,
ed_new_built_properties_per_region,Ed New Built Properties Per Region (SOP03 - Table 1),Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SOP03/-,SOP03,Scrape (ELSTAT publication),xls,no,raw_file,no,,ed_new_built_properties_per_region,
ed_new_establishments_building_permits,Ed New Establishments Building Permits (SOP03 - Table 16),Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SOP03/-,SOP03,Scrape (ELSTAT publication),xls,partial,raw_file,no,,ed_new_establishments_building_permits,
ed_new_residential_building_cost_index,Ed New Residential Building Cost Index (DKT63) - Quarterly,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT63/-,DKT63,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_new_residential_building_cost_index,
ed_new_residential_buildings_work_categories,Ed New Residential Buildings Work Categories (DKT63) - Quarterly,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT63/-,DKT63,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_new_residential_buildings_work_categories,
ed_office_price_volume_index,Ed Office Price and Rent Indices (BoG),Greece,Bank of Greece,https://www.bankofgreece.gr/RelatedDocuments/OFFICE_PRICE_INDEX.pdf,,Direct URL,pdf,yes,extracted_csv,yes,athena,ed_office_price_volume_index,
ed_residence_permits_aggregate,Ed Residence Permits Aggregate,Greece,Greek Migration Ministry,https://migration.gov.gr/en/statistika/,,Shared (via ed_geo_distribution_of_issued_and_pending_permits),pdf,yes,migration_appendix_b_csv,no,,ed_residence_permits_aggregate,
ed_residence_permits_application,Ed Residence Permits Application,Greece,Greek Migration Ministry,https://migration.gov.gr/en/statistika/,,Shared (via ed_geo_distribution_of_issued_and_pending_permits),pdf,yes,migration_appendix_b_csv,no,,ed_residence_permits_application,
ed_residence_permits_current,Ed Residence Permits Current,Greece,Greek Migration Ministry,https://migration.gov.gr/en/statistika/,,Shared (via ed_geo_distribution_of_issued_and_pending_permits),pdf,yes,migration_appendix_b_csv,no,,ed_residence_permits_current,
ed_residence_permits_golden_visa,Ed Residence Permits Golden Visa,Greece,Greek Migration Ministry,https://migration.gov.gr/en/statistika/,,Shared (via ed_geo_distribution_of_issued_and_pending_permits),pdf,yes,migration_appendix_b_csv,no,,ed_residence_permits_golden_visa,
ed_residence_permits_issued,Ed Residence Permits Issued,Greece,Greek Migration Ministry,https://migration.gov.gr/en/statistika/,,Shared (via ed_geo_distribution_of_issued_and_pending_permits),pdf,yes,migration_appendix_b_csv,no,,ed_residence_permits_issued,
ed_residence_permits_top10_countries,Ed Residence Permits Top10 Countries,Greece,Greek Migration Ministry,https://migration.gov.gr/en/statistika/,,Shared (via ed_geo_distribution_of_issued_and_pending_permits),pdf,yes,migration_appendix_b_csv,no,,ed_residence_permits_top10_countries,
ed_residence_permits_top10_countries_golden_visa,Ed Residence Permits Top10 Countries Golden Visa,Greece,Greek Migration Ministry,https://migration.gov.gr/en/statistika/,,Shared (via ed_geo_distribution_of_issued_and_pending_permits),pdf,yes,migration_appendix_b_csv,no,,ed_residence_permits_top10_countries_golden_visa,
ed_residents_di_activity,BoG FDI Flows - Residents by Activity,Greece,Bank of Greece,https://www.bankofgreece.gr/en/statistics/external-sector/,,Direct URL,xls,yes,extracted_csv,yes,athena,ed_residents_di_by_activity,
ed_residents_di_country,BoG FDI Flows - Residents by Country,Greece,Bank of Greece,https://www.bankofgreece.gr/en/statistics/external-sector/,,Direct URL,xls,yes,extracted_csv,yes,athena,ed_residents_di_by_country,
ed_retail_price_rental_index,Ed Retail Price and Rent Indices (BoG),Greece,Bank of Greece,https://www.bankofgreece.gr/RelatedDocuments/RETAIL_PRICE_INDEX.pdf,,Direct URL,pdf,yes,extracted_csv,yes,athena,ed_retail_price_rental_index,
ed_retail_trade_turnover_index,Retail Trade Turnover Index,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT39/-,DKT39,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_retail_trade_turnover_index,
ed_retail_trade_volume_index,Retail Trade Volume Index,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT39/-,DKT39,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_retail_trade_volume_index,
ed_services_sector_turnover_monthly_index,Ed Services Sector Turnover Monthly Index (DKT54),Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT54/-,DKT54,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_services_sector_turnover_monthly_index,
ed_tourists_arrivals_revenue,Ed Tourists Arrivals and Revenue (BoG),Greece,Bank of Greece,https://www.bankofgreece.gr/RelatedDocuments/RECEIPTS_BY_COUNTRY_OF_ORIGIN.xls,,Direct URL,xls,yes,extracted_csv,yes,athena,ed_tourists_arrivals_revenue,
ed_wage_growth_index,Ed Wage Growth Index - Quarterly,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT03/-,DKT03,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_wage_growth_index,
ed_wholesale_trade_turnover_index,Wholesale Trade Turnover Index,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT42/-,DKT42,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_wholesales_turnover_index,
gdp_greece,GDP Greece - Quarterly,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SEL84/-,SEL84,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,gdp_greece,
